Building ID,No. Of Story - Normalised,SSI Normalized,OR Normalized,RNS Normalized,MNLSI Normalised,MNLSTFI Normalised,Damage
DUZ-EKS-32,0.5,0.18,0.42,0,0.26,0.047,5
DUZ-EKS-33,0.5,0.18,0.45,0,0.31,0.014,5
DUZ-EKS-34,0.75,0.18,0.51,0,0.22,0.016,5
DUZ-EKS-35,0.75,0.18,0.21,0,0.26,0.022,5
DUZ-EKS-36,0.5,0.18,0.41,0,0.22,0.014,5
DUZ-EKS-38,0.75,0.4,0,1,0.28,0.011,5
DUZ-EKS-39,0.75,0.18,0.19,0,0.17,0.025,5
DUZ-EKS-40,0.5,0.18,0.17,0,0.44,0.039,5
DUZ-EKS-41,1,0.18,0.22,0,0.14,0.009,5
DUZ-EKS-42,0.5,0.18,0.23,0,0.37,0.017,5
DUZ-EKS-43,0.75,0.36,0.52,0,0.2,0.005,5
DUZ-EKS-44,0.75,0.39,0,0,0.29,0.013,5
DUZ-EKS-45,0.75,0.31,0,1,0.25,0.01,5
DUZ-EKS-46,0.5,0.18,0.51,0,0.2,0.007,5
DUZ-EKS-48,0.75,0.18,0.45,0,0.16,0.02,5
DUZ-EKS-49,0.5,0.18,0.54,0,0.14,0.051,5
DUZ-EKS-50,0.5,0.36,0.14,0,0.29,0.022,5
DUZ-EKS-51,1,0.18,0.42,0,0.18,0.012,5
DUZ-EKS-53,0.75,0.72,0.42,0,0.15,0.005,5
DUZ-EKS-54,0.75,0.39,0.81,0,0.19,0.011,5
DUZ-EKS-55,0.75,0.33,0.48,0,0.21,0.077,5
DUZ-EKS-56,0.75,0.39,0,0,0.15,0.065,5
DUZ-EKS-57,0.75,0.42,0,0,0.34,0.04,5
DUZ-EKS-58,0.75,0.18,0.57,0,0.32,0.063,5
DUZ-EKS-59,0.75,0.59,0.42,0,0.25,0.009,5
DUZ-EKS-60,0.75,0.18,0.61,0,0.27,0.017,5
DUZ-EKS-61,0.75,0.18,0.57,0,0.26,0.033,5
DUZ-EKS-62,0.75,0.47,0.43,0,0.19,0.021,5
DUZ-EKS-63,0.75,0.3,0.02,0,0.27,0.032,5
DUZ-EKS-64-A,0.75,0.29,0.34,0,0.3,0.014,5
DUZ-EKS-64-B,0.75,0.66,0.22,0,0.27,0.024,5
DUZ-EKS-65,0.75,0.44,0.57,0,0.27,0.038,5
DUZ-EKS-66-A,0.75,0.52,0,0,0.21,0.016,5
DUZ-EKS-66-B,0.75,0.52,0,0,0.26,0.026,5
DUZ-EKS-67,0.75,0.39,0.33,0,0.22,0.016,5
E-A0-18,0.75,0.38,0.09,1,0.26,0.016,3
E-A0-26-A,0.75,0.24,0,1,0.32,0.091,2
E-A0-26-B,0.75,0.71,0,1,0.21,0.068,2
E-A0-29-A,0.25,0.24,0,1,0.38,0.019,2
E-A0-29-B,0.25,0.24,0,1,0.39,0.013,2
E-A0-41,0.25,0.33,0,0,0.25,0.023,2
E-A0-42,0.5,0.24,0.04,0,0,0,2
E-A-4,0.25,0.18,0.33,1,0.35,0.011,2
E-A-5,0.25,0.15,0.43,0,0.43,0.014,2
E-A-6,0.5,0.18,0.08,0,0.31,0.02,4
E-A-7,0.25,0.36,0.38,1,0.3,0.005,2
E-A-8,0.25,0.27,0.69,1,0.27,0.005,2
E-B0-22,0.75,0.21,0.07,1,0.31,0.3,3
E-B0-24,0.75,0.23,0.08,0,0.23,0.021,2
E-B0-25,0.5,0.39,0,0,0.41,0.022,2
E-B0-30,0.25,0.49,0.06,1,0.31,0.03,2
E-B0-31-A,0.25,0.34,0,1,0.41,0.01,2
E-B0-31-B,0.25,0.34,0,1,0.3,0.009,2
E-B0-32,0.5,0.36,0.12,1,0.5,0.027,2
E-B0-34,0.5,0.37,0,1,0.26,0.012,2
E-B0-37-A,0.75,0.3,0,0,0.36,0.125,3
E-B0-37-B,0.75,0.3,0.39,0,0.29,0.03,3
E-B0-38,0.75,0.39,0,0,0.32,0.022,2
E-B0-39,0.5,0.42,0.3,1,0.33,0.012,2
E-B0-40,0.5,0.41,0.24,1,0.37,0.018,2
E-B0-51,0.25,0.27,0.87,0,0.8,0.042,2
E-B0-53,0.5,0.46,0.14,1,0.18,0.007,4
E-B0-54,1,0.33,0,0,0.29,0.01,4
E-B0-55,0.25,0.3,0,1,0.28,0.011,2
E-B0-56,0.5,0.42,0,0,0.28,0.011,4
E-B-12,0.5,0.18,0,0,0.35,0.017,2
E-C-15,0.25,0.4,0,0,1,0.05,4
E-C-16,0.75,0.31,0,0,0.25,0.011,4
E-C-17,0.75,0.36,0,1,0.17,0.113,3
E-C-18,0.25,0.29,0,0,0.15,0.003,2
E-C-20,0.75,0.39,0,0,0.28,0.012,2
E-C-21,0.75,0.42,0,0,0.26,0.017,3
E-C-23,0.5,0.43,0,0,0.31,0.016,3
E-D-26,0.25,0.21,0,0,0.22,0.004,2
E-E-37,0.25,0,0,1,0.48,0.016,2
E-F-43,0.25,0.38,0,1,0.34,0.03,2
E-F-45,0.25,0.24,0,0,0.26,0.01,2
E-F-46,0.5,0.18,0,0,0.37,0.015,2
E-F-47,0.25,0.18,0,0,0.34,0.026,3
E-F-49,0.25,0.18,0,1,0.32,0.01,3
E-G-10,0.5,0.21,0,0,0.48,0.103,3
E-G-12,0.75,0.59,0,1,0.2,0.007,4
