F_Length,F_Height,Gable,Gable_height,tot_area_opening,s_height,F_thickness,n_intwall_perp_f,n_intwall_paral_f,Length_perp_f,n_intwall_perp_back_f,Roof_A3_t_A1_m,P_O,Masonry_E_unf_B_fir,Mortar,length_brick,height_brick,staggering_brick,LEFT_Connec,rIGHT_Connec,Damage
15.6,3,0,0,9.5,0.9,0.25,3,2,9.4,4,3,1,1,1,0.195,0.06,0.1,1,1,0.12416243
15.2,3.87,1,0.6,2.4,1.24,0.23,2,3,15.2,3,3,2,2,1,0.25,0.065,0.115,1,1,0.126704558
15.2,3.3,0,0,7.485,1.24,0.23,3,2,9,3,3,1,2,1,0.215,0.065,0.115,1,1,0.122884765
14,3,0,0,3.84,0.9,0.25,3,1,8,4,3,1,1,1,0.23,0.075,0.15,1,1,0.135371775
8,3,0,0,7.455,0.85,0.25,1,1,14,2,3,2,1,1,0.23,0.075,0.15,1,1,0.067047712
7.6,3.15,1,0.5,2.212,0.5,0.23,1,2,10.55,1,3,2,2,1,0.215,0.065,0.115,1,1,0.068609334
10.55,2.65,0,0,8.458,0.5,0.23,2,1,7.6,2,3,1,2,1,0.215,0.065,0.115,1,1,0.12230622
11.35,4.6,1,1.9,4.2,0.5,0.25,3,2,18.2,2,3,2,1,1,0.23,0.075,0.12,0,0,0.182161583
18.2,2.7,0,0,10.83,0.5,0.25,3,2,11.35,3,3,1,1,1,0.23,0.075,0.12,0,0,0.100677527
6.75,2.85,0,0,1.3125,0.8,0.23,1,3,14.35,2,3,2,1,1,0.23,0.075,0.115,1,1,0.074497458
14.35,2.5,0,0,8.3505,0.45,0.23,2,2,6.75,3,3,1,1,1,0.25,0.075,0.115,1,1,0.104440755
5.8,3,0,0,3.75,0.9,0.25,1,3,16.5,2,3,2,1,1,0.25,0.075,0.11,1,1,0.081947204
15.5,3,0,0,8.105,0.8,0.25,2,2,5.8,3,3,1,1,1,0.25,0.075,0.11,1,1,0.111746187
9.72,3.52,1,0.8,5.79,0.5,0.23,1,1,9.6,1,3,1,1,1,0.215,0.075,0.105,1,1,0.161693565
9.6,2.6,0,0,0.9898,0.6,0.23,2,0,9.72,0,3,2,1,1,0.23,0.065,0.105,1,1,0.039137991
16.5,2.9,0,0,10.2,0.8,0.3,2,2,13,4,3,1,1,1,0.23,0.075,0.15,1,1,0.116007095
13,2.9,0,0,6.131,0.8,0.3,2,2,16.3,2,3,2,1,1,0.23,0.075,0.15,1,1,0.040887518
8,3.4,1,0.4,3.06,0.7,0.12,2,1,10.4,2,3,2,1,2,0.24,0.065,0.12,0,0,0.05098436
10.4,2.8,0,0,2.115,0.6,0.12,2,2,8,3,3,1,1,2,0.24,0.065,0.12,0,0,0.12023716
5,3.7,1,1,,0.8,0.18,2,1,14.4,2,3,2,2,2,0.3,0.09,0.12,1,1,0.443079057
14.4,2.7,0,0,2.25,0.8,0.18,2,1,5,2,3,1,2,2,0.3,0.09,0.12,1,1,0.075399649
5.5,3,1,0.5,0.657,0.53,0.23,1,1,7.5,1,3,2,2,2,0.26,0.08,0.13,1,1,0.0626086
7.5,2.55,0,0,3.807,0.53,0.23,1,1,5.5,1,3,1,2,2,0.26,0.08,0.13,1,1,0.104440755
4.65,3.3,1,0.7,1.215,0.8,0.15,1,1,7.6,2,3,2,2,2,0.29,0.075,0.16,0,0,0.12444115
7.6,2.6,0,0,3.06,0.65,0.15,2,1,4.65,2,3,1,2,2,0.29,0.075,0.16,0,0,0.10884179
4.6,2.9,1,0.9,0,0,0.15,1,1,3.8,1,1,2,3,2,0.25,0.09,0.1,0,0,0.044513061
3.8,2,0,0,1.45,0.2,0.15,1,1,4.6,1,1,1,3,2,0.25,0.09,0.1,0,0,0.060793053
5.6,3.2,1,0.8,0,0,0.15,1,1,7,0,3,2,2,2,0.25,0.1,0.14,0,0,0.092837641
7,2.4,0,0,2.8,0.45,0.15,1,1,5.6,1,3,1,2,2,0.25,0.1,0.14,0,0,0.079512642
3.5,2.65,1,0.4,0,0,0.13,0,1,4,0,1,2,2,2,0.23,0.07,0.115,0,0,0.03428929
4,2.25,0,0,1.8406,0.55,0.13,1,0,3.5,1,1,1,2,2,0.23,0.07,0.115,0,0,0.090507371
4.7,2.8,1,0.5,0,0,0.14,0,1,5.8,1,3,2,2,2,0.23,0.07,0.115,0,0,0.061588764
5.8,2.3,0,0,1.845,0.4,0.14,1,0,4.7,1,3,1,2,2,0.23,0.07,0.115,0,0,0.095713642
4.8,2.9,1,0.5,0,0,0.13,0,1,4.8,1,3,2,2,2,0.25,0.085,0.1,0,0,0.060606927
4.8,2.3,0,0,2.63,0.4,0.13,1,0,4.8,1,3,1,2,2,0.25,0.085,0.1,0,0,0.103521689
5.9,2.8,1,0.5,0,0,0.13,1,1,6.3,1,1,2,2,2,0.27,0.085,0.13,0,0,0.068031429
6.3,2.3,0,0,3.87,0.45,0.13,2,1,5.9,1,1,1,2,2,0.27,0.085,0.13,0,0,0.101173216
4,2.7,1,0.5,0,0,0.13,1,1,5.45,1,1,2,3,2,0.26,0.08,0.13,0,0,0.055178969
5.45,2.2,0,0,2.709,0.4,0.13,1,1,4,1,1,1,3,2,0.26,0.08,0.13,0,0,0.048191255
6,3.2,1,0.7,0.81,0.6,0.18,1,1,9.3,2,3,2,1,2,0.25,0.095,0.095,1,1,0.063442722
