No. Of Story - Normalised,SSI Normalized,OR Normalized,RNS Normalized,MNLSI Normalised,MNLSTFI Normalised,Damage
1,0.33,0.29,0,0.19,0.017,5
0.75,0.18,0,0,0.3,0.084,5
0.75,0.39,0,0,0.26,0.013,5
0.75,0.32,0.07,0,0.08,0.01,5
0.75,0.36,0.15,0,0.17,0.006,5
0.75,0.18,0.19,0,0.21,0.051,5
0.75,0.36,0.44,0,0.28,0.019,5
0.75,0.18,0.46,0,0.25,0.009,5
0.5,0.35,0.32,0,0.22,0.008,5
0.75,0.42,0.21,1,0.3,0.019,5
0.5,0.18,0.55,0,0.26,0.019,5
0.5,0.18,0.28,0,0.35,0.036,5
0.75,0.39,0.16,0,0.26,0.009,5
0.75,0.64,0.24,0,0.23,0.053,5
0.75,0.32,0.88,0,0.19,0.034,5
1,0.24,0.32,0,0.17,0.013,5
0.75,0.39,0.33,0,0.27,0.021,5
0.75,0.39,0.11,0,0.12,0.005,5
0.75,0.39,0.2,0,0.18,0.011,5
1,0.24,0.58,0,0.22,0.034,5
0.75,0.27,0,0,0.12,0.033,5
0.5,0.18,0.71,1,0.33,0.017,5
0.5,0.18,0.42,0,0.26,0.047,5
0.5,0.18,0.45,0,0.31,0.014,5
0.75,0.18,0.51,0,0.22,0.016,5
0.75,0.18,0.21,0,0.26,0.022,5
0.5,0.18,0.41,0,0.22,0.014,5
0.75,0.4,0,1,0.28,0.011,5
0.75,0.18,0.19,0,0.17,0.025,5
0.5,0.18,0.17,0,0.44,0.039,5
1,0.18,0.22,0,0.14,0.009,5
0.5,0.18,0.23,0,0.37,0.017,5
0.75,0.36,0.52,0,0.2,0.005,5
0.75,0.39,0,0,0.29,0.013,5
0.75,0.31,0,1,0.25,0.01,5
0.5,0.18,0.51,0,0.2,0.007,5
0.75,0.18,0.45,0,0.16,0.02,5
0.5,0.18,0.54,0,0.14,0.051,5
0.5,0.36,0.14,0,0.29,0.022,5
1,0.18,0.42,0,0.18,0.012,5
0.75,0.72,0.42,0,0.15,0.005,5
0.75,0.39,0.81,0,0.19,0.011,5
0.75,0.33,0.48,0,0.21,0.077,5
0.75,0.39,0,0,0.15,0.065,5
0.75,0.42,0,0,0.34,0.04,5
0.75,0.18,0.57,0,0.32,0.063,5
0.75,0.59,0.42,0,0.25,0.009,5
0.75,0.18,0.61,0,0.27,0.017,5
0.75,0.18,0.57,0,0.26,0.033,5
0.75,0.47,0.43,0,0.19,0.021,5
0.75,0.3,0.02,0,0.27,0.032,5
0.75,0.29,0.34,0,0.3,0.014,5
0.75,0.66,0.22,0,0.27,0.024,5
0.75,0.44,0.57,0,0.27,0.038,5
0.75,0.52,0,0,0.21,0.016,5
0.75,0.52,0,0,0.26,0.026,5
0.75,0.39,0.33,0,0.22,0.016,5
0.75,0.38,0.09,1,0.26,0.016,3
0.75,0.24,0,1,0.32,0.091,2
0.75,0.71,0,1,0.21,0.068,2
0.25,0.24,0,1,0.38,0.019,2
0.25,0.24,0,1,0.39,0.013,2
0.25,0.33,0,0,0.25,0.023,2
0.5,0.24,0.04,0,0,0,2
0.25,0.18,0.33,1,0.35,0.011,2
