System Type,Year of cons.,No. of Story,Ground floor Area,Total Floor Area,Overhang Area,Story Heights Ground,Story Heights Normal,Irr-A1,Irr-A2,Irr-A3,Irr-A4,Irr-B1,Irr-B2,Irr-B3,X-dir - Frames,Y-dir - Frames,SSI,OR (Aover/Agrou),RNS,MNLSI,MNLSTFI,Damage Class
1,1970,5,236.25,1181.25,35,4.5,2.75,2,2,2,2,2,1,2,2,4,1.636,0.15,1,1.2804,0.0285,4
2,1997,5,303.32,1516.6,50.54,3.3,2.8,2,2,2,1,2,1,2,2,3,1.179,0.17,1,1.7113,0.3895,4
2,1989,5,256.8,1284,0,3.5,2.8,1,2,2,2,2,1,2,2,2,1.25,0,1,1.298,0.3301,4
1,1998,5,178.3,810.22,0,3.6,2.8,1,2,1,1,2,1,2,2,4,1.286,0,1,2.72,0.2042,4
2,1989,5,331.88,1940.24,66.46,2.8,2.8,1,2,1,1,2,2,2,0,2,1,0.2,1,2.5561,0.3166,4
2,1984,5,215.16,1075.8,31.92,4.3,2.9,2,2,2,2,2,1,2,1,0,1.483,0.15,1,2.0605,0.0476,4
1,1994,5,204.54,1022.7,43.76,2.8,2.8,1,2,2,1,2,2,2,3,2,1,0.21,1,2.1683,0.0891,4
1,1996,5,241.5,1207.5,47.96,2.8,2.8,2,2,2,1,2,2,2,1,2,1,0.2,1,2.1336,0.1708,4
2,1983,5,265.65,1328.25,40.1,3.9,2.9,2,2,2,2,2,1,2,3,2,1.345,0.15,1,1.6329,0.1079,4
2,1998,5,553.69,2768.45,3.01,3.2,2.8,1,2,1,1,2,1,2,1,1,1.143,0.01,1,2.2115,0.1655,4
1,1991,5,111.33,556.65,13.43,3.15,2.8,1,2,2,2,2,1,2,4,2,1.125,0.12,1,2.3719,0.074,4
1,1991,5,238.49,1192.45,18.59,4.37,2.8,1,2,2,2,2,1,2,2,5,1.561,0.08,1,2.2044,0.1258,4
2,1991,5,375.52,2178.6,75.25,3.65,2.8,1,2,1,1,2,1,2,2,6,1.304,0.2,1,2.1595,0.1944,4
1,1991,5,279.3,1396.5,0,3.5,2.5,2,2,2,2,2,1,2,3,2,1.4,0,1,1.7759,0.0842,4
2,1991,5,267.05,1335.25,0,3.5,2.5,2,2,2,2,2,1,2,6,1,1.4,0,1,2.0742,0.133,4
1,1995,5,439.74,2404.58,51.47,3.5,2.8,1,1,1,2,2,1,2,1,5,1.25,0.12,1,1.8089,0.082,4
1,1980,5,386,1930,12.74,3.45,2.8,1,2,1,1,2,1,2,4,5,1.232,0.03,2,2.1028,0.0863,2
2,1980,5,325,1625,0,3.1,2.9,2,2,2,1,2,1,2,4,6,1.069,0,3,2.5126,0.4593,1
2,1980,5,335,1675,0,4.7,2.9,2,2,2,1,2,1,2,5,5,1.621,0,3,1.727,0.3443,1
2,1981,3,210,630,0,3.15,2.95,2,2,2,2,2,1,2,4,4,1.068,0,3,2.9837,0.0999,1
